i_id,i_m_id,i_title,i_desc,i_b_price,i_duration,i_ship_fee,i_ship_out,i_pay_way,i_cat,i_s_cat,i_s_date,i_status,created_at,image_url
20,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 08:51:48.570751,P,2025-11-23 08:51:48.570751,
22,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 08:54:11.034185,P,2025-11-23 08:54:11.034185,
38,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 14:08:17.734036,P,2025-11-23 14:08:17.734036,
62,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:05:22.964735,P,2025-11-23 15:05:22.964735,
63,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:09:37.081509,P,2025-11-23 15:09:37.081509,
64,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:11:38.208316,P,2025-11-23 15:11:38.208316,
65,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:13:23.124258,P,2025-11-23 15:13:23.124258,
66,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:14:21.182701,P,2025-11-23 15:14:21.182701,
67,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:26:05.233777,P,2025-11-23 15:26:05.233777,
68,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:29:39.344996,P,2025-11-23 15:29:39.344996,
69,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:30:17.260045,P,2025-11-23 15:30:17.260045,
70,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:31:41.214888,P,2025-11-23 15:31:41.214888,
71,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:32:08.543815,P,2025-11-23 15:32:08.543815,
72,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:32:33.375644,P,2025-11-23 15:32:33.375644,
73,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:33:03.929854,P,2025-11-23 15:33:03.929854,
74,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:33:51.861977,P,2025-11-23 15:33:51.861977,
75,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:34:31.495549,P,2025-11-23 15:34:31.495549,
76,1,TEST_ITEM_AUTOTEST,auto-desc,0.00,7,B,N,,,,2025-11-23 15:34:54.676868,P,2025-11-23 15:34:54.676868,
